Data,Valoare EUR (exprimată in lei)
11.10.2022,4.9367
12.10.2022,4.9397
13.10.2022,4.9416
14.10.2022,4.9350
15.10.2022,
16.10.2022,
17.10.2022,4.9360
18.10.2022,4.9357
19.10.2022,4.9290
20.10.2022,4.9246
21.10.2022,4.9130
22.10.2022,
23.10.2022,
24.10.2022,4.9139
25.10.2022,4.9038
26.10.2022,4.8793
27.10.2022,4.8890
28.10.2022,4.9128
29.10.2022,
30.10.2022,
31.10.2022,4.9141
01.11.2022,4.9134
02.11.2022,4.9113
03.11.2022,4.9010
04.11.2022,4.8876
05.11.2022,
06.11.2022,
07.11.2022,4.8871
08.11.2022,4.8912
09.11.2022,4.9052
10.11.2022,4.8919
11.11.2022,4.8902
12.11.2022,
13.11.2022,
14.11.2022,4.8982
15.11.2022,4.9032
16.11.2022,4.9209
17.11.2022,4.9267
18.11.2022,4.9418
19.11.2022,
20.11.2022,
21.11.2022,4.9417
22.11.2022,4.9253
23.11.2022,4.9385
24.11.2022,4.9309
25.11.2022,4.9250
26.11.2022,
27.11.2022,
28.11.2022,4.9266
29.11.2022,4.9184
30.11.2022,
01.12.2022,
02.12.2022,4.9297
03.12.2022,
04.12.2022,
05.12.2022,4.9207
06.12.2022,4.9126
07.12.2022,4.9186
08.12.2022,4.9192
09.12.2022,4.9211
10.12.2022,
11.12.2022,
12.12.2022,4.9286
13.12.2022,4.9314
14.12.2022,4.9248
15.12.2022,4.9206
16.12.2022,4.9199
17.12.2022,
18.12.2022,
19.12.2022,4.9176
20.12.2022,4.9140
21.12.2022,4.9023
22.12.2022,4.8981
23.12.2022,4.9020
24.12.2022,
25.12.2022,
26.12.2022,
27.12.2022,4.9278
28.12.2022,4.9463
29.12.2022,4.9458
30.12.2022,4.9474
31.12.2022,
01.01.2023,
02.01.2023,
03.01.2023,4.9273
04.01.2023,4.9264
05.01.2023,4.9243
06.01.2023,4.9293
07.01.2023,
08.01.2023,
09.01.2023,4.9252
10.01.2023,4.9253
11.01.2023,4.9328
12.01.2023,4.9359
13.01.2023,4.9413
14.01.2023,
15.01.2023,
16.01.2023,4.9405
17.01.2023,4.9314
18.01.2023,4.9355
19.01.2023,4.9293
20.01.2023,4.9255
21.01.2023,
22.01.2023,
23.01.2023,4.9198
24.01.2023,
25.01.2023,4.9016
26.01.2023,4.8858
27.01.2023,4.8922
28.01.2023,
29.01.2023,
30.01.2023,4.9030
31.01.2023,4.9221
01.02.2023,4.9148
02.02.2023,4.9024
03.02.2023,4.9005
04.02.2023,
05.02.2023,
06.02.2023,4.9036
07.02.2023,4.9022
08.02.2023,4.8962
09.02.2023,4.8900
10.02.2023,4.9045
11.02.2023,
12.02.2023,
13.02.2023,4.9037
14.02.2023,4.9012
15.02.2023,4.8993
16.02.2023,4.9007
17.02.2023,4.9040
18.02.2023,
19.02.2023,
20.02.2023,4.9196
21.02.2023,4.9193
22.02.2023,4.9248
23.02.2023,4.9115
24.02.2023,4.9170
25.02.2023,
26.02.2023,
27.02.2023,4.9185
28.02.2023,4.9200
01.03.2023,4.9267
02.03.2023,4.9218
03.03.2023,4.9213
04.03.2023,
